,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162
Philadelphia Phillies,1011.2,1022.43,1009.79,1021.14,1031.0,1038.92,1048.48,1039.19,1048.74,1036.48,1043.42,1031.43,1020.36,1029.82,1014.25,1003.02,1014.4,1002.46,1013.87,1024.49,1031.75,1020.09,1012.4,1003.1,996.25,987.76,1004.24,1015.75,1023.43,1033.39,1021.63,1030.51,1042.01,1031.38,1041.63,1053.28,1060.25,1046.39,1059.15,1068.76,1059.5,1068.31,1054.03,1061.25,1067.58,1072.67,1077.58,1081.39,1085.34,1088.6,1093.34,1098.73,1085.48,1092.59,1098.77,1081.75,1068.08,1049.77,1038.95,1050.48,1040.75,1025.63,1014.68,1004.26,994.35,1005.48,996.57,1011.6,1028.46,1037.92,1051.81,1058.67,1042.17,1048.98,1054.91,1067.96,1052.08,1063.89,1055.09,1045.97,1038.07,1053.3,,,1054.94,1043.32,1052.89,1041.83,1053.03,1062.01,,,,,,,1032.2,1042.13,1027.16,1037.22,1048.51,1039.9,,,,,,,1039.42,1028.6,1037.57,1052.69,1063.0,1049.58,,,,,,,,,,,1058.18,1067.12,1080.5,1068.21,1074.6,1080.17,,,,1052.82,1060.05,1066.93,1054.88,,,,,,,1076.95,1086.51,1096.53,1102.72,1111.56,1117.75,1098.9,,,,,,,1072.09,1085.81,1092.68,1097.68,1079.67,1084.78
Pittsburgh Pirates,991.2,1000.45,991.63,983.25,972.14,960.41,971.96,961.89,951.87,963.06,975.11,965.57,974.91,965.58,956.03,946.36,961.31,951.05,963.92,972.71,962.79,953.46,946.03,960.71,971.77,962.97,975.45,965.7,954.61,943.99,955.92,947.45,938.71,932.7,925.4,917.12,910.51,901.92,913.45,906.84,918.15,913.17,908.39,924.95,917.73,911.4,906.31,896.83,908.35,920.33,911.7,922.42,932.62,924.71,914.92,927.79,945.52,937.67,951.49,942.59,935.02,948.67,938.94,949.89,960.31,970.22,981.33,970.38,978.87,972.36,983.75,977.01,970.59,962.08,952.37,967.34,957.17,949.69,963.99,975.39,965.6,958.76,975.47,989.96,1006.46,1022.22,1031.63,1043.82,,,,,,,,,,948.35,934.36,922.21,935.2,947.45,960.75,952.25,962.65,975.75,,,,,,,989.07,973.17,962.81,978.66,988.13,979.52,967.63,,,,,,,956.83,948.55,960.03,972.05,980.18,987.83,,,,,,,,1014.84,1025.6,1034.94,1026.58,1018.69,1008.38,,,,,,,964.74,956.56,948.24,942.0,954.7,975.8,,,,,,
San Diego Padres,1010.4,1018.67,1026.53,1036.71,1047.86,1059.64,1067.96,1057.07,1043.34,1052.19,1058.83,1042.44,1049.55,1059.68,1065.93,1073.86,1086.45,1076.87,1086.15,1073.85,1063.16,1070.6,1059.93,1069.04,1054.93,1044.52,1032.83,1022.68,1034.18,1044.16,1052.9,1058.91,1066.21,1074.12,1056.71,1047.5,1052.49,1063.06,1042.41,1027.29,1034.28,1042.03,1030.09,1019.71,1008.45,997.32,978.0,970.12,979.7,967.33,977.93,985.98,994.32,983.01,990.86,977.04,985.94,995.58,1004.74,995.83,987.38,998.83,991.16,1001.47,994.13,1013.43,1004.05,992.42,983.87,997.67,989.28,981.98,975.63,988.23,979.18,990.65,999.08,984.9,992.04,998.84,986.74,998.05,,,,,992.56,982.62,994.07,982.54,990.97,977.01,985.72,997.23,1007.22,999.11,,,,,,,,,,,1006.28,1020.03,1031.97,1039.65,1026.11,1034.74,,,,1025.43,1036.49,1049.89,,,,,,,1027.74,1035.75,1044.9,1051.92,1060.0,1069.77,1054.63,,,,,,,1013.06,1001.14,991.58,,,,1000.87,990.66,981.82,987.33,973.4,982.25,988.2,,,,,,,993.52,1010.15,1001.8,1013.22,1024.78,1038.69
San Francisco Giants,1009.6,1000.31,1010.69,1022.61,1031.49,1040.58,1047.94,1056.21,1062.81,1050.72,1040.22,1048.52,1061.86,1048.99,1057.12,1068.35,1056.97,1068.91,1057.5,1045.87,1053.38,1042.92,1052.84,1036.96,1046.45,1054.67,1043.71,1051.81,1059.51,1048.01,1038.03,1024.93,1031.33,1036.96,1043.57,1031.25,1048.94,1059.15,1048.29,1038.88,1029.95,1020.7,1031.92,1022.57,1035.22,1042.33,1049.09,1038.57,1047.05,1034.9,1044.23,1031.56,1039.06,1030.31,1022.04,1014.86,1022.51,1011.55,1019.37,1009.73,1000.57,1009.48,1017.93,1025.17,1032.05,1038.6,1042.38,1046.69,1032.6,1044.58,1031.79,1023.64,1013.65,1003.29,1011.92,1002.94,1012.76,1024.62,1012.68,1000.43,985.34,992.79,,,,,,,,,,987.53,997.9,981.7,991.66,983.52,974.38,,,,,,,956.69,949.66,942.37,934.41,926.16,919.01,,,,,,,965.94,954.13,937.36,930.22,922.94,913.11,905.53,898.33,913.96,,,,,,,,947.87,968.14,978.93,993.21,976.7,994.56,,,,,,,1018.12,1027.95,1018.04,1029.35,1015.84,1001.76,,,,,,,,973.67,964.79,973.96,979.67,984.28,989.92
Seattle Mariners,1009.6,995.25,985.91,995.42,984.35,973.94,983.26,975.9,967.63,961.03,970.46,961.81,971.2,982.48,997.6,1007.44,996.43,1006.8,1018.23,1008.71,1020.62,1032.56,1019.42,1029.62,1037.73,1024.67,1042.09,1049.21,1055.97,1064.53,1078.19,1084.38,1066.3,1056.01,1064.54,1071.94,1058.14,1045.09,1028.06,1016.53,1026.77,1018.91,1030.85,1041.23,1052.49,1059.01,1046.27,1051.66,1036.56,1045.93,1036.45,1026.63,1038.79,1020.2,1005.88,994.66,1005.1,1015.03,1000.76,990.23,980.22,971.0,961.46,970.79,959.13,945.89,936.55,951.21,961.24,975.1,967.15,984.66,976.19,991.6,983.29,1001.24,1014.06,1020.86,1008.72,990.51,999.84,991.1,,1010.8,998.32,1005.98,995.66,1010.22,1019.5,1028.31,,,,,,,1052.13,1060.84,1045.57,1035.73,1047.03,1035.84,,,,,,,,1030.21,1039.61,1030.14,1039.54,1049.86,1057.57,1064.26,1070.62,1077.79,1084.58,,,,,,,,,,1021.22,1012.51,1026.93,1038.16,1029.49,1038.86,,,,,,,,,,1021.36,1029.18,1036.59,1043.29,1049.67,1056.31,1066.31,,,,,,,1101.81,1106.15,1109.57,1099.63,1089.33,1077.16
St. Louis Cardinals,1009.6,1020.18,1032.21,1022.72,1012.89,1026.93,1014.73,1005.76,989.5,977.45,986.99,977.65,988.72,979.26,994.83,1006.95,996.77,1007.15,997.43,989.69,981.0,972.81,964.21,977.93,967.46,977.46,986.96,974.48,966.49,982.0,998.2,984.27,974.68,986.14,997.06,1005.34,1011.95,1020.54,1034.21,1041.68,1050.54,1059.8,1050.99,1065.27,1077.26,1084.43,1073.65,1087.96,1078.89,1067.94,1075.29,1082.28,1088.94,1073.02,1078.62,1083.55,1062.5,1070.15,1053.22,1041.4,1049.59,1038.87,1051.94,1060.86,1049.24,1040.32,1031.86,1022.36,1009.42,1001.18,1012.73,1004.32,1016.21,1022.2,1028.44,1040.79,1049.22,1037.89,1051.23,1059.73,1044.14,1033.81,,,,,,,,,,1016.89,1000.28,1011.05,1000.19,989.86,997.64,,,,,,,947.93,959.48,950.3,938.02,955.05,945.93,939.11,,,,,,,964.64,953.22,964.39,969.76,955.04,943.22,935.64,926.47,917.87,,,,,,,932.29,921.84,914.69,927.45,,,,928.88,940.22,953.97,943.38,954.21,964.52,,,,,,,930.52,942.35,931.94,950.86,945.49,961.35,,,,,,
Tampa Bay Rays,1008.8,999.55,1009.17,1020.28,1032.01,1020.46,1009.96,1000.85,992.95,984.89,994.84,980.02,990.03,980.4,991.93,1011.74,1000.06,990.77,981.82,974.69,986.49,977.12,967.89,978.69,990.83,1001.24,1012.93,1023.08,1012.41,1001.49,988.85,980.09,990.7,1001.71,991.46,979.81,972.84,982.37,991.42,981.59,991.64,981.93,994.47,979.91,989.63,976.34,968.86,979.35,992.04,1002.47,1012.33,1030.19,1043.42,1034.07,1047.03,1063.39,1053.96,1072.04,1062.18,1071.41,1078.21,1084.69,1089.25,1076.04,1080.95,1087.99,1075.47,1064.58,1075.18,1086.87,1101.72,1110.26,1094.85,1102.72,1088.81,1100.52,1110.7,1095.23,1102.49,1108.86,1115.37,1088.78,,,1071.02,1058.78,1064.68,,,,,,,,,,,1025.35,1033.19,1022.12,1007.4,1014.93,1003.54,,,,,,,,948.15,962.03,953.32,,,,,,,,,,,,,947.49,940.14,929.58,941.29,953.02,,,,,,,990.18,999.47,1011.49,1020.03,1005.2,995.74,986.76,,,,,,,963.33,957.71,969.93,984.8,975.87,968.08,982.56,,,,,,
Texas Rangers,989.6,1000.62,1009.39,1017.71,999.54,1008.54,1017.09,1027.59,1036.7,1044.6,1030.69,1020.13,1032.64,1021.36,1006.24,996.4,1008.13,1017.54,1026.43,1016.46,1026.13,1017.71,1026.97,1014.88,1005.25,1016.21,1008.11,1000.41,991.29,1009.98,996.01,985.49,971.83,965.64,983.72,996.2,986.29,974.59,968.57,986.88,1001.89,1006.77,1012.31,1018.41,1027.5,1016.9,1028.57,1019.55,1011.12,1004.4,998.0,984.71,970.23,977.93,969.29,979.54,970.02,991.07,983.42,1000.35,991.12,984.32,977.84,968.7,981.9,991.73,1011.14,999.85,1019.29,1026.54,1032.85,1038.87,1023.51,1011.06,999.34,1009.51,1016.99,1002.69,989.17,998.16,1011.35,1002.02,1010.76,1000.62,989.56,1005.05,1017.68,,,,,,,,,,,1043.57,1052.96,1042.84,1051.78,1059.59,1065.37,1072.71,1077.78,1085.3,,,,,,,,1053.43,1061.23,1050.41,1035.98,1027.89,1019.51,1026.88,1016.29,1005.31,,,,,,,,996.29,1011.27,1021.48,1008.17,1018.1,1036.03,,,,,,,1061.54,1040.78,1049.23,1063.98,1074.08,1085.42,,,,,,,1037.27,1027.31,1016.99,1002.94,1009.87,995.15,,,
Toronto Blue Jays,984.0,997.98,986.91,997.23,1007.42,1016.26,1024.62,1011.94,1003.28,995.06,1007.49,1019.95,1028.46,1018.94,1008.86,1016.88,1003.71,1013.05,1021.17,1030.69,1018.78,1006.84,993.03,982.54,974.13,985.65,972.51,963.65,951.4,962.11,973.23,983.92,974.83,966.95,953.17,943.75,953.98,967.78,980.83,997.86,987.81,997.52,984.98,978.78,990.46,984.0,995.13,1014.45,1022.33,1011.9,1002.04,984.18,992.82,982.57,992.09,1005.22,1012.8,1018.42,1025.26,1013.73,1023.46,1038.58,1048.05,1056.25,1044.65,1053.57,1062.03,1071.53,1054.67,1045.21,1031.32,1039.26,1050.92,1037.39,1019.43,1028.22,1015.18,1025.62,1015.7,1027.59,1041.16,1018.43,,1036.66,1050.09,1058.83,1067.78,1075.03,1081.93,1088.5,,,,,,,1073.91,1081.18,1087.53,1096.1,1085.34,1094.71,,,,,,,,,1043.91,1053.12,1041.75,,,,,,,1060.92,1049.51,1058.03,1065.5,1079.72,1063.47,,,,,,,1057.75,1044.06,1049.7,1039.88,1031.94,1046.26,,,,,,,1056.38,1045.75,1056.65,1068.14,1075.99,1088.87,,,,,,,,1035.23,1023.65,1037.58,1045.48,1054.21,1065.34
Washington Nationals,988.8,977.57,990.21,980.02,971.18,962.82,954.61,965.09,975.05,986.93,1001.94,993.91,1004.23,994.84,981.06,966.11,976.37,963.5,954.71,962.11,969.14,957.24,971.17,979.48,969.77,981.46,974.42,985.89,971.35,963.67,953.71,965.47,955.45,970.1,981.95,991.69,978.03,969.67,956.0,948.53,939.67,932.32,924.05,935.05,926.63,934.74,944.54,955.04,966.48,976.4,967.07,979.74,972.24,960.08,978.67,992.99,1001.91,1011.75,1000.45,991.57,1004.12,994.4,1003.54,990.34,980.51,974.18,965.95,960.29,948.97,939.15,928.98,916.62,902.95,891.96,900.04,895.34,911.99,904.44,918.62,911.48,904.68,921.56,,,915.43,932.42,947.34,934.65,924.25,917.44,,,,,,,889.88,902.62,892.55,905.69,921.31,911.93,,,,,,,917.37,911.46,904.11,892.65,904.15,894.5,,,,,,,922.78,915.38,928.59,921.96,910.0,920.45,934.9,,,,,,,898.88,890.2,882.02,894.33,906.98,920.73,,,,,,,,945.15,934.88,944.92,930.63,921.16,910.88,901.29,,,,,,,902.86,912.18,897.86
